reaction_id,equation,reference
1,CHAL-CHAL-1_MA + CHAL-CHAL-1_MB -> CHAL-CHAL-1,-34.18
2,CHAL-CHAL-2_MA + CHAL-CHAL-2_MB -> CHAL-CHAL-2,-30.72
3,CHAL-CHAL-3_MA + CHAL-CHAL-3_MB -> CHAL-CHAL-3,-26.28
4,CHAL-CHAL-4_MA + CHAL-CHAL-4_MB -> CHAL-CHAL-4,-25.69
5,CHAL-CHAL-5_MA + CHAL-CHAL-5_MB -> CHAL-CHAL-5,-24.35
6,CHAL-CHAL-6_MA + CHAL-CHAL-6_MB -> CHAL-CHAL-6,-21.71
7,CHAL-CHAL-7_MA + CHAL-CHAL-7_MB -> CHAL-CHAL-7,-20.14
8,CHAL-CHAL-8_MA + CHAL-CHAL-8_MB -> CHAL-CHAL-8,-19.76
9,CHAL-CHAL-9_MA + CHAL-CHAL-9_MB -> CHAL-CHAL-9,-19.27
10,CHAL-CHAL-10_MA + CHAL-CHAL-10_MB -> CHAL-CHAL-10,-19.02
11,CHAL-CHAL-11_MA + CHAL-CHAL-11_MB -> CHAL-CHAL-11,-18.91
12,CHAL-CHAL-12_MA + CHAL-CHAL-12_MB -> CHAL-CHAL-12,-18.68
13,CHAL-CHAL-13_MA + CHAL-CHAL-13_MB -> CHAL-CHAL-13,-18.37
14,CHAL-CHAL-14_MA + CHAL-CHAL-14_MB -> CHAL-CHAL-14,-17.69
15,CHAL-CHAL-15_MA + CHAL-CHAL-15_MB -> CHAL-CHAL-15,-16.89
16,CHAL-CHAL-16_MA + CHAL-CHAL-16_MB -> CHAL-CHAL-16,-16.85
17,CHAL-CHAL-17_MA + CHAL-CHAL-17_MB -> CHAL-CHAL-17,-16.40
18,CHAL-CHAL-18_MA + CHAL-CHAL-18_MB -> CHAL-CHAL-18,-16.11
19,CHAL-CHAL-19_MA + CHAL-CHAL-19_MB -> CHAL-CHAL-19,-15.81
20,CHAL-CHAL-20_MA + CHAL-CHAL-20_MB -> CHAL-CHAL-20,-15.63
21,CHAL-CHAL-21_MA + CHAL-CHAL-21_MB -> CHAL-CHAL-21,-15.62
22,CHAL-CHAL-22_MA + CHAL-CHAL-22_MB -> CHAL-CHAL-22,-15.25
23,CHAL-CHAL-23_MA + CHAL-CHAL-23_MB -> CHAL-CHAL-23,-15.23
24,CHAL-CHAL-24_MA + CHAL-CHAL-24_MB -> CHAL-CHAL-24,-14.83
25,CHAL-CHAL-25_MA + CHAL-CHAL-25_MB -> CHAL-CHAL-25,-14.72
26,CHAL-CHAL-26_MA + CHAL-CHAL-26_MB -> CHAL-CHAL-26,-14.60
